Individuo,Orden de preferencia,Clave,Nombre de la Materia
119,1,2039,Modelos y Simulación
120,3,2039,Modelos y Simulación
121,5,2039,Modelos y Simulación
122,2,2039,Modelos y Simulación
124,5,2039,Modelos y Simulación
2,2,2040,Matemáticas actuariales aplicadas
39,2,2040,Matemáticas actuariales aplicadas
42,4,2040,Matemáticas actuariales aplicadas
44,4,2040,Matemáticas actuariales aplicadas
47,3,2040,Matemáticas actuariales aplicadas
73,1,2040,Matemáticas actuariales aplicadas
83,3,2040,Matemáticas actuariales aplicadas
95,1,2040,Matemáticas actuariales aplicadas
105,2,2040,Matemáticas actuariales aplicadas
122,1,2040,Matemáticas actuariales aplicadas
8,3,2041,Muestreo
13,5,2041,Muestreo
16,4,2041,Muestreo
19,2,2041,Muestreo
20,2,2041,Muestreo
24,2,2041,Muestreo
30,1,2041,Muestreo
34,3,2041,Muestreo
35,5,2041,Muestreo
36,4,2041,Muestreo
38,3,2041,Muestreo
39,1,2041,Muestreo
41,3,2041,Muestreo
47,4,2041,Muestreo
48,2,2041,Muestreo
51,1,2041,Muestreo
54,1,2041,Muestreo
56,5,2041,Muestreo
57,1,2041,Muestreo
58,5,2041,Muestreo
59,4,2041,Muestreo
66,2,2041,Muestreo
69,4,2041,Muestreo
70,2,2041,Muestreo
71,2,2041,Muestreo
74,4,2041,Muestreo
75,1,2041,Muestreo
82,1,2041,Muestreo
84,5,2041,Muestreo
85,5,2041,Muestreo
87,1,2041,Muestreo
90,3,2041,Muestreo
94,5,2041,Muestreo
98,1,2041,Muestreo
100,1,2041,Muestreo
104,1,2041,Muestreo
109,1,2041,Muestreo
110,4,2041,Muestreo
111,5,2041,Muestreo
117,1,2041,Muestreo
122,3,2041,Muestreo
45,4,2042,Modelos microeconómicos
4,4,2043,Planeación Financiera
5,2,2043,Planeación Financiera
6,3,2043,Planeación Financiera
7,4,2043,Planeación Financiera
9,5,2043,Planeación Financiera
11,2,2043,Planeación Financiera
32,4,2043,Planeación Financiera
33,1,2043,Planeación Financiera
37,4,2043,Planeación Financiera
40,2,2043,Planeación Financiera
42,1,2043,Planeación Financiera
44,1,2043,Planeación Financiera
53,4,2043,Planeación Financiera
63,5,2043,Planeación Financiera
99,2,2043,Planeación Financiera
101,4,2043,Planeación Financiera
107,5,2043,Planeación Financiera
114,3,2043,Planeación Financiera
116,4,2043,Planeación Financiera
3,1,2044,Análisis de Estados Financieros
5,4,2044,Análisis de Estados Financieros
8,2,2044,Análisis de Estados Financieros
9,4,2044,Análisis de Estados Financieros
10,1,2044,Análisis de Estados Financieros
11,5,2044,Análisis de Estados Financieros
18,3,2044,Análisis de Estados Financieros
27,2,2044,Análisis de Estados Financieros
28,3,2044,Análisis de Estados Financieros
41,4,2044,Análisis de Estados Financieros
60,2,2044,Análisis de Estados Financieros
62,3,2044,Análisis de Estados Financieros
63,4,2044,Análisis de Estados Financieros
65,3,2044,Análisis de Estados Financieros
76,2,2044,Análisis de Estados Financieros
110,2,2044,Análisis de Estados Financieros
112,3,2044,Análisis de Estados Financieros
115,3,2045,Análisis econometrico
1,2,2046,Auditoría Actuarial
2,1,2046,Auditoría Actuarial
5,1,2046,Auditoría Actuarial
6,2,2046,Auditoría Actuarial
7,2,2046,Auditoría Actuarial
