danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.425|0.411|11|-9.363|1|0.0371|0.257|0.00922|0.092|0.0486|139.832|audio_features|1HHrKdtzQp36XsJvjalVst|spotify:track:1HHrKdtzQp36XsJvjalVst|https://api.spotify.com/v1/tracks/1HHrKdtzQp36XsJvjalVst|https://api.spotify.com/v1/audio-analysis/1HHrKdtzQp36XsJvjalVst|299870|4|Carla Morrison|Vez Primera|26|0
0.225|0.656|5|-4.407|1|0.0363|0.465|0.00531|0.121|0.102|97.543|audio_features|4MBkvkgoTkyQPJwYktFB8q|spotify:track:4MBkvkgoTkyQPJwYktFB8q|https://api.spotify.com/v1/tracks/4MBkvkgoTkyQPJwYktFB8q|https://api.spotify.com/v1/audio-analysis/4MBkvkgoTkyQPJwYktFB8q|288615|3|Carla Morrison|No Vuelvo Jamás|27|0
0.391|0.884|11|-3.883|1|0.0329|0.000134|0.58|0.174|0.217|160.188|audio_features|1Z6NUe88dVXBDpWiWpSpie|spotify:track:1Z6NUe88dVXBDpWiWpSpie|https://api.spotify.com/v1/tracks/1Z6NUe88dVXBDpWiWpSpie|https://api.spotify.com/v1/audio-analysis/1Z6NUe88dVXBDpWiWpSpie|204880|4|Enjambre|Somos Ajenos|28|62
0.549|0.661|6|-5.38|0|0.0311|0.499|1.34e-06|0.278|0.444|132.957|audio_features|3LstXe0j7E7bP7IW79ZP6p|spotify:track:3LstXe0j7E7bP7IW79ZP6p|https://api.spotify.com/v1/tracks/3LstXe0j7E7bP7IW79ZP6p|https://api.spotify.com/v1/audio-analysis/3LstXe0j7E7bP7IW79ZP6p|267507|4|Flor Amargo|Busco a Alguien|29|44
0.55|0.352|9|-9.468|1|0.0345|0.844|0.0|0.109|0.283|133.87|audio_features|1XQYjTzZTKfvP69S5yJkaH|spotify:track:1XQYjTzZTKfvP69S5yJkaH|https://api.spotify.com/v1/tracks/1XQYjTzZTKfvP69S5yJkaH|https://api.spotify.com/v1/audio-analysis/1XQYjTzZTKfvP69S5yJkaH|242000|4|Leonel García|Que Lloro (with Carla Morrison)|30|58
0.612|0.963|2|-3.9|0|0.0327|0.208|0.0|0.703|0.971|118.606|audio_features|1bJkgELvdxZsE3XHG5bsCp|spotify:track:1bJkgELvdxZsE3XHG5bsCp|https://api.spotify.com/v1/tracks/1bJkgELvdxZsE3XHG5bsCp|https://api.spotify.com/v1/audio-analysis/1bJkgELvdxZsE3XHG5bsCp|233373|4|Los Bunkers|Una Nube Cuelga Sobre Mí - Live|31|10
0.681|0.516|6|-7.772|1|0.029|0.262|7.63e-06|0.0768|0.899|162.047|audio_features|4UNfUsD6cf7ONXI3GB338o|spotify:track:4UNfUsD6cf7ONXI3GB338o|https://api.spotify.com/v1/tracks/4UNfUsD6cf7ONXI3GB338o|https://api.spotify.com/v1/audio-analysis/4UNfUsD6cf7ONXI3GB338o|221893|4|Los Claxons|Este Mundo Sin Ti|32|37
0.493|0.74|2|-6.364|1|0.0418|0.446|3.07e-06|0.98|0.577|113.158|audio_features|0Ft9dBN6vm9bhvGaUPHyYO|spotify:track:0Ft9dBN6vm9bhvGaUPHyYO|https://api.spotify.com/v1/tracks/0Ft9dBN6vm9bhvGaUPHyYO|https://api.spotify.com/v1/audio-analysis/0Ft9dBN6vm9bhvGaUPHyYO|281000|4|Los Tigres Del Norte|Golpes En El Corazón|33|62
0.662|0.217|5|-13.999|1|0.062|0.952|0.000142|0.0934|0.189|82.968|audio_features|1g2ArBYODteuzTtYN7qOT2|spotify:track:1g2ArBYODteuzTtYN7qOT2|https://api.spotify.com/v1/tracks/1g2ArBYODteuzTtYN7qOT2|https://api.spotify.com/v1/audio-analysis/1g2ArBYODteuzTtYN7qOT2|223427|4|Natalia Lafourcade|Soy Lo Prohibido (feat. Los Macorinos)|34|54
0.617|0.91|0|-8.904|1|0.157|0.0144|5.17e-05|0.509|0.486|103.493|audio_features|2CFKQ0EgA2JumNciOnVnzQ|spotify:track:2CFKQ0EgA2JumNciOnVnzQ|https://api.spotify.com/v1/tracks/2CFKQ0EgA2JumNciOnVnzQ|https://api.spotify.com/v1/audio-analysis/2CFKQ0EgA2JumNciOnVnzQ|256787|4|Panteon Rococo|Acábame de Matar - En Vivo|35|50
0.387|0.953|0|-9.177|1|0.158|0.00155|0.000117|0.859|0.167|101.749|audio_features|5auwSKx96QcROy6CTGnHIl|spotify:track:5auwSKx96QcROy6CTGnHIl|https://api.spotify.com/v1/tracks/5auwSKx96QcROy6CTGnHIl|https://api.spotify.com/v1/audio-analysis/5auwSKx96QcROy6CTGnHIl|236027|4|Panteon Rococo|Esta Noche - En Vivo|36|46
0.534|0.916|7|-8.915|1|0.103|0.0122|0.000103|0.392|0.488|165.352|audio_features|7wL7mQUpStsapIkNuy0d2Z|spotify:track:7wL7mQUpStsapIkNuy0d2Z|https://api.spotify.com/v1/tracks/7wL7mQUpStsapIkNuy0d2Z|https://api.spotify.com/v1/audio-analysis/7wL7mQUpStsapIkNuy0d2Z|280080|4|Panteon Rococo|Arréglame el Alma (feat. Maria Barracuda) - En Vivo|37|66
0.602|0.398|0|-9.503|1|0.104|0.807|0.0|0.703|0.603|126.285|audio_features|4UuVcf9nvpqyPsOk0P9oBH|spotify:track:4UuVcf9nvpqyPsOk0P9oBH|https://api.spotify.com/v1/tracks/4UuVcf9nvpqyPsOk0P9oBH|https://api.spotify.com/v1/audio-analysis/4UuVcf9nvpqyPsOk0P9oBH|305120|4|Pepe Aguilar|Prometiste - MTV Unplugged [En Vivo]|38|1
0.677|0.897|2|-5.458|1|0.0393|0.0431|0.0|0.264|0.828|107.78|audio_features|7Apo6o7oxgFyXaSmdx6NHN|spotify:track:7Apo6o7oxgFyXaSmdx6NHN|https://api.spotify.com/v1/tracks/7Apo6o7oxgFyXaSmdx6NHN|https://api.spotify.com/v1/audio-analysis/7Apo6o7oxgFyXaSmdx6NHN|210267|4|Shakira|Si Te Vas|39|69
0.731|0.871|2|-5.079|1|0.0403|0.022|0.0|0.0717|0.71|116.944|audio_features|117PkfBYudl1lSoFFAvOM4|spotify:track:117PkfBYudl1lSoFFAvOM4|https://api.spotify.com/v1/tracks/117PkfBYudl1lSoFFAvOM4|https://api.spotify.com/v1/audio-analysis/117PkfBYudl1lSoFFAvOM4|233827|4|Shakira|Estoy Aquí|40|56
0.8|0.317|0|-11.883|1|0.0294|0.717|1.54e-05|0.112|0.49|104.931|audio_features|0DvW1OmI9N7ikF1yyHGiWr|spotify:track:0DvW1OmI9N7ikF1yyHGiWr|https://api.spotify.com/v1/tracks/0DvW1OmI9N7ikF1yyHGiWr|https://api.spotify.com/v1/audio-analysis/0DvW1OmI9N7ikF1yyHGiWr|211493|4|Shakira|Moscas en la Casa|41|46
0.581|0.667|11|-6.753|0|0.0285|0.0133|0.000196|0.141|0.494|134.975|audio_features|4NRxS0GktlWGF53EwWeQxg|spotify:track:4NRxS0GktlWGF53EwWeQxg|https://api.spotify.com/v1/tracks/4NRxS0GktlWGF53EwWeQxg|https://api.spotify.com/v1/audio-analysis/4NRxS0GktlWGF53EwWeQxg|185253|4|Various Artists|Desesperado|42|53
0.684|0.93|11|-7.189|0|0.0681|0.0335|0.184|0.274|0.729|100.027|audio_features|3R6hm07kmnyFTKAqtjI6D0|spotify:track:3R6hm07kmnyFTKAqtjI6D0|https://api.spotify.com/v1/tracks/3R6hm07kmnyFTKAqtjI6D0|https://api.spotify.com/v1/audio-analysis/3R6hm07kmnyFTKAqtjI6D0|204440|4|Various Artists|No Me Digas Que Te Vas (feat. Liquits)|43|41
0.755|0.6|2|-7.331|1|0.0336|0.447|7.21e-05|0.114|0.517|108.045|audio_features|5IZC2HQDKPhVkpAotDJBHM|spotify:track:5IZC2HQDKPhVkpAotDJBHM|https://api.spotify.com/v1/tracks/5IZC2HQDKPhVkpAotDJBHM|https://api.spotify.com/v1/audio-analysis/5IZC2HQDKPhVkpAotDJBHM|242760|4|Various Artists|Cuidado|44|39
0.592|0.327|5|-8.765|1|0.0344|0.722|3.46e-05|0.137|0.443|93.642|audio_features|0lENksWHf3wx9MBUUdHQYq|spotify:track:0lENksWHf3wx9MBUUdHQYq|https://api.spotify.com/v1/tracks/0lENksWHf3wx9MBUUdHQYq|https://api.spotify.com/v1/audio-analysis/0lENksWHf3wx9MBUUdHQYq|261027|4|Various Artists|El Amor Acaba|45|44
0.313|0.824|4|-7.022|0|0.0453|0.0799|0.0333|0.957|0.418|190.113|audio_features|04YCoK8SspDy9Gv52aUrz8|spotify:track:04YCoK8SspDy9Gv52aUrz8|https://api.spotify.com/v1/tracks/04YCoK8SspDy9Gv52aUrz8|https://api.spotify.com/v1/audio-analysis/04YCoK8SspDy9Gv52aUrz8|337546|4|Zoé|Bésame Mucho - Live|46|60
0.517|0.506|2|-7.92|1|0.0283|0.0928|4.28e-06|0.129|0.366|162.083|audio_features|10atyYpAMMlqPHVDt6yER8|spotify:track:10atyYpAMMlqPHVDt6yER8|https://api.spotify.com/v1/tracks/10atyYpAMMlqPHVDt6yER8|https://api.spotify.com/v1/audio-analysis/10atyYpAMMlqPHVDt6yER8|325001|4|Café Tacvba|Que No|47|53
0.791|0.759|9|-5.67|1|0.037|0.0823|4.44e-05|0.0993|0.917|124.725|audio_features|6hFHsQWB7HdVrSe7efRR82|spotify:track:6hFHsQWB7HdVrSe7efRR82|https://api.spotify.com/v1/tracks/6hFHsQWB7HdVrSe7efRR82|https://api.spotify.com/v1/audio-analysis/6hFHsQWB7HdVrSe7efRR82|214880|4|Café Tacvba|Como te extraño mi amor|48|69
0.399|0.874|0|-4.76|1|0.0328|0.000192|0.0187|0.0678|0.594|180.044|audio_features|067AqILNtaIPWQNeIM7nte|spotify:track:067AqILNtaIPWQNeIM7nte|https://api.spotify.com/v1/tracks/067AqILNtaIPWQNeIM7nte|https://api.spotify.com/v1/audio-analysis/067AqILNtaIPWQNeIM7nte|222987|3|Café Tacvba|Olita Del Altamar|49|45
0.248|0.75|7|-2.964|1|0.0397|0.318|0.0|0.211|0.18|70.679|audio_features|3lI5dscCDez8cF6LF3Me7F|spotify:track:3lI5dscCDez8cF6LF3Me7F|https://api.spotify.com/v1/tracks/3lI5dscCDez8cF6LF3Me7F|https://api.spotify.com/v1/audio-analysis/3lI5dscCDez8cF6LF3Me7F|215112|3|Jesse & Joy|Ecos De Amor|50|70
0.4|0.398|10|-6.038|0|0.0385|0.786|3.47e-06|0.333|0.16|111.661|audio_features|02yD6Wmpx5kLAoXLQOnuEb|spotify:track:02yD6Wmpx5kLAoXLQOnuEb|https://api.spotify.com/v1/tracks/02yD6Wmpx5kLAoXLQOnuEb|https://api.spotify.com/v1/audio-analysis/02yD6Wmpx5kLAoXLQOnuEb|229933|4|Jesse & Joy|Me Soltaste|51|69
0.531|0.834|2|-3.944|1|0.052|0.277|0.0|0.131|0.526|142.026|audio_features|1iRvhKiXRElIH2Uf4gd95P|spotify:track:1iRvhKiXRElIH2Uf4gd95P|https://api.spotify.com/v1/tracks/1iRvhKiXRElIH2Uf4gd95P|https://api.spotify.com/v1/audio-analysis/1iRvhKiXRElIH2Uf4gd95P|247640|4|Jesse & Joy|Dueles|52|78
0.438|0.516|0|-5.293|1|0.034|0.509|0.0|0.704|0.145|125.751|audio_features|3a2pn9r9wwL08iIqmd5c6V|spotify:track:3a2pn9r9wwL08iIqmd5c6V|https://api.spotify.com/v1/tracks/3a2pn9r9wwL08iIqmd5c6V|https://api.spotify.com/v1/audio-analysis/3a2pn9r9wwL08iIqmd5c6V|243600|3|Ha*Ash|Sé Que Te Vas (feat. Matisse) - HA-ASH Primera Fila - Hecho Realidad [En Vivo]|53|43
0.824|0.738|6|-5.431|1|0.0867|0.0215|0.0|0.0495|0.961|119.973|audio_features|0WajUW5XINeraP2w0F3F8E|spotify:track:0WajUW5XINeraP2w0F3F8E|https://api.spotify.com/v1/tracks/0WajUW5XINeraP2w0F3F8E|https://api.spotify.com/v1/audio-analysis/0WajUW5XINeraP2w0F3F8E|183973|4|Miranda!|Don|54|73
0.636|0.743|0|-5.338|1|0.0491|0.159|0.0|0.292|0.815|169.892|audio_features|4Ol6lxivp7pR7voovl8vKI|spotify:track:4Ol6lxivp7pR7voovl8vKI|https://api.spotify.com/v1/tracks/4Ol6lxivp7pR7voovl8vKI|https://api.spotify.com/v1/audio-analysis/4Ol6lxivp7pR7voovl8vKI|225053|4|Miranda!|Perfecta - Versión con Julieta Venegas|55|67
0.817|0.568|1|-13.1|1|0.163|0.118|0.0|0.155|0.689|92.022|audio_features|5Jgo5cDlZaz2JlZgHEgbgN|spotify:track:5Jgo5cDlZaz2JlZgHEgbgN|https://api.spotify.com/v1/tracks/5Jgo5cDlZaz2JlZgHEgbgN|https://api.spotify.com/v1/audio-analysis/5Jgo5cDlZaz2JlZgHEgbgN|183995|4|Lng Sht|Romcom|56|0
0.57|0.554|0|-8.127|1|0.209|0.761|0.000162|0.21|0.443|84.357|audio_features|0K1eUOeIAW1jwbqSrgoVMj|spotify:track:0K1eUOeIAW1jwbqSrgoVMj|https://api.spotify.com/v1/tracks/0K1eUOeIAW1jwbqSrgoVMj|https://api.spotify.com/v1/audio-analysis/0K1eUOeIAW1jwbqSrgoVMj|208290|4|Sabino|Lo Que Construimos|57|54
0.695|0.69|7|-7.541|1|0.302|0.685|0.00332|0.372|0.883|92.041|audio_features|3Q8IzE0MjSmp0nGoli4Wzc|spotify:track:3Q8IzE0MjSmp0nGoli4Wzc|https://api.spotify.com/v1/tracks/3Q8IzE0MjSmp0nGoli4Wzc|https://api.spotify.com/v1/audio-analysis/3Q8IzE0MjSmp0nGoli4Wzc|206763|4|Sabino|romA (LRDP Maqueta)|58|0
0.811|0.668|5|-6.411|0|0.0421|0.136|0.0|0.119|0.754|91.013|audio_features|7K1P7jsHorl48ylUnuun48|spotify:track:7K1P7jsHorl48ylUnuun48|https://api.spotify.com/v1/tracks/7K1P7jsHorl48ylUnuun48|https://api.spotify.com/v1/audio-analysis/7K1P7jsHorl48ylUnuun48|221246|4|Los Master Plus|El Castigo|59|0
0.622|0.771|0|-6.973|1|0.351|0.368|2.42e-05|0.236|0.788|90.214|audio_features|06H5AH5KtVWbAPNuOG8biW|spotify:track:06H5AH5KtVWbAPNuOG8biW|https://api.spotify.com/v1/tracks/06H5AH5KtVWbAPNuOG8biW|https://api.spotify.com/v1/audio-analysis/06H5AH5KtVWbAPNuOG8biW|197251|4|Sabino|No Te Quiero Perder|60|55
0.83|0.159|1|-14.461|1|0.0383|0.946|2.02e-05|0.362|0.189|104.95|audio_features|0akyEssGRVHstqCSWXusJL|spotify:track:0akyEssGRVHstqCSWXusJL|https://api.spotify.com/v1/tracks/0akyEssGRVHstqCSWXusJL|https://api.spotify.com/v1/audio-analysis/0akyEssGRVHstqCSWXusJL|207400|4|Ed Maverick|Fuentes de Ortiz|61|80
0.794|0.47|8|-7.311|1|0.0361|0.00945|2.79e-05|0.112|0.618|120.018|audio_features|7fNPXeqDaUjWiZhiPHTG6y|spotify:track:7fNPXeqDaUjWiZhiPHTG6y|https://api.spotify.com/v1/tracks/7fNPXeqDaUjWiZhiPHTG6y|https://api.spotify.com/v1/audio-analysis/7fNPXeqDaUjWiZhiPHTG6y|240295|4|Elsa y Elmar|Ojos Noche|62|42
0.757|0.537|1|-7.925|1|0.0347|0.406|8.26e-06|0.138|0.656|165.124|audio_features|2uySxR57hAMkbQyP6HdFXC|spotify:track:2uySxR57hAMkbQyP6HdFXC|https://api.spotify.com/v1/tracks/2uySxR57hAMkbQyP6HdFXC|https://api.spotify.com/v1/audio-analysis/2uySxR57hAMkbQyP6HdFXC|257147|3|Mi Sobrino Memo|Somos Amigos|63|42
0.735|0.595|0|-6.693|1|0.031|0.513|0.0|0.148|0.845|123.926|audio_features|0X1Y0UvysDdSfYYZnkCH8V|spotify:track:0X1Y0UvysDdSfYYZnkCH8V|https://api.spotify.com/v1/tracks/0X1Y0UvysDdSfYYZnkCH8V|https://api.spotify.com/v1/audio-analysis/0X1Y0UvysDdSfYYZnkCH8V|221218|4|Daniela Spalla|Estábamos Tan Bien|64|37
