alc_o_municipio,edad
TEOTIHUACÁN,59
TEPEAPULCO,14
TEPEAPULOC,1
TEPECOACUILCO DE TRUJANO,1
TEPEJI DEL RÍO,9
TEPETITLA DE LARDIZÁBAL,5
TEPETLAOXTOC,21
TEPETLIXPA,15
TEPEYANCO,1
TEPEYUALCO,1
TEPIC,11
TEPIPAN,4
TEPOTZOTLÁN,88
TEQUISQUIAPAN,6
TEQUIXQUIAC,17
TETELA DEL VOLCÁN,4
TETLATLAHUCA,1
TEXCOCO,436
TEZIUTLÁN,8
TEZONTEPEC DE ALDAMA,4
TEZOYUCA,43
TEZOZAUTLA,1
TIANGUISTENCO,20
TIJUANA,22
TIZAYUCA,133
TIZAYUCAN,1
TLACHICHUCA,1
TLAHUAPAN,2
TLAHUELILPAN,3
TLAJOMULCO DE ZÚÑIGA,15
TLALMANALCO,61
TLALNEPANTLA DE BAZ,1784
TLALPAN,2162
TLALPUJAHUA,5
TLALTIZAPÁN,6
TLAQUEPAQUE,32
TLATLAYA,2
TLAXCO,3
TLÁHUAC,2876
TOLCAYUCA,10
TOLIMÁN,3
TOLUCA,331
TONALÁ,17
TONANITLA,18
TONATICO,1
TORREÓN,8
TOTOLAPAN,3
TULA,21
TULANCINGO DE BRAVO,48
TULTEPEC,233
TULTITLÁN,920
TUXPAN,9
TUXTLA GUTIÉRREZ,12
URUAPAN,8
VALERIO TRUJANO,1
VALLE DE BRAVO,4
VALLE DE CHALCO,715
VENUSTIANO CARRANZA,5653
VILLA DE ALLENDE,4
VILLA DE TEZONTEPEC,4
VILLA DE ZAACHILA,2
VILLA DE ÁLVAREZ,5
VILLA DEL CARBÓN,24
VILLA GUERRERO,9
VILLA HERMOSA,2
VILLA HIDALGO,1
VILLA MILPA ALTA,1
VILLA PURIFICACIÓN,1
VILLA TEJUPAM DE LA UNIÓN,1
VILLA VICTORIA,19
XALAPA,76
XALATLACO,8
XALOSTOC,3
XICO,2
XICOTEPEC,8
XOCHIMILCO,2035
XOCHISTLAHUACA,2
XONACATLÁN,16
YANGA,1
YAUHQUEMEHCAN,5
YAUTEPEC,21
YECAPIXTLA,13
ZACAPOAXTLA,5
ZACAPU,6
ZACATECAS,16
ZACATELCO,6
ZACATEPEC,5
ZACATLÁN,8
ZACUALPAN,4
ZAMORA,4
ZAPOPAN,67
ZAPOTILTIC,2
ZAPOTITLÁN,2
ZAPOTLÁN,5
ZARAGOZA,3
ZAUTLA,4
ZEMPOALA,13
ZIMAPÁN,6
ZINACANTEPEC,36
ZITÁCUARO,8
ZUMPAHUACÁN,4
ZUMPANGO,227
ÁLVARO OBREGÓN,4186
